product_id,product_name,sku,category,sale_date,quantity_sold,unit_price,current_stock,minimum_stock,supplier
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-08-01,2,2500.00,45,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-08-03,1,2500.00,44,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-08-05,3,2500.00,41,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-08-08,1,2500.00,40,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-08-12,2,2500.00,38,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-08-15,1,2500.00,37,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-08-18,2,2500.00,35,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-08-22,1,2500.00,34,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-08-25,3,2500.00,31,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-08-28,1,2500.00,30,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-09-02,2,2500.00,28,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-09-05,1,2500.00,27,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-09-08,2,2500.00,25,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-09-12,1,2500.00,24,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-09-15,1,2500.00,23,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-09-18,2,2500.00,21,5,Acer Brasil
PROD001,Notebook Acer Aspire 5,NB-ACER-001,Eletrônicos,2024-09-20,1,2500.00,20,5,Acer Brasil
PROD002,Mouse Logitech MX Master 3,MS-LOG-001,Periféricos,2024-08-01,5,320.00,85,10,Logitech
PROD002,Mouse Logitech MX Master 3,MS-LOG-001,Periféricos,2024-08-02,3,320.00,82,10,Logitech
PROD002,Mouse Logitech MX Master 3,MS-LOG-001,Periféricos,2024-08-03,4,320.00,78,10,Logitech
PROD002,Mouse Logitech MX Master 3,MS-LOG-001,Periféricos,2024-08-04,2,320.00,76,10,Logitech
PROD002,Mouse Logitech MX Master 3,MS-LOG-001,Periféricos,2024-08-06,6,320.00,70,10,Logitech
PROD002,Mouse Logitech MX Master 3,MS-LOG-001,Periféricos,2024-08-08,3,320.00,67,10,Logitech
PROD002,Mouse Logitech MX Master 3,MS-LOG-001,Periféricos,2024-08-09,2,320.00,65,10,Logitech
PROD002,Mouse Logitech MX Master 3,MS-LOG-001,Periféricos,2024-08-11,4,320.00,61,10,Logitech
PROD002,Mouse Logitech MX Master 3,MS-LOG-001,Periféricos,2024-08-13,5,320.00,56,10,Logitech
PROD002,Mouse Logitech MX Master 3,MS-LOG-001,Periféricos,2024-08-15,3,320.00,53,10,Logitech
PROD002,Mouse Logitech MX Master 3,MS-LOG-001,Periféricos,2024-08-17,2,320.00,51,10,Logitech
